,time,temp_night,temp_day,avg
76,2011-04-18,2.1834828005492,13.22211262775619,7.702797714152695
77,2011-04-19,1.9286929980939362,13.792229321143907,7.860461159618922
78,2011-04-20,2.7090662412672373,12.567818062898539,7.638442152082888
79,2011-04-21,3.660272158939506,15.56377272710455,9.612022443022028
80,2011-04-22,4.348443362389958,14.262136843137512,9.305290102763735
81,2011-04-23,4.9458183515080805,16.106539230754777,10.526178791131429
82,2011-04-24,5.191917606074469,17.483936483012428,11.337927044543449
83,2011-04-25,7.203482718560963,17.04183972482582,12.122661221693392
84,2011-04-26,0.057814173963492976,12.863302740111692,6.4605584570375925
85,2011-04-27,1.5183856395121325,12.164798820618955,6.841592230065544
86,2011-04-28,2.648514314684519,15.380862399903037,9.014688357293778
87,2011-04-29,2.5150004994854385,14.997588632970121,8.75629456622778
88,2011-04-30,1.7430653339171158,14.920142398428084,8.3316038661726
89,2011-05-01,-0.9018755078986942,10.438549124452607,4.768336808276956
90,2011-05-02,-2.081123664737561,9.071003370684195,3.4949398529733173
91,2011-05-03,-2.3073354910627586,5.089010223190996,1.390837366064119
92,2011-05-04,-0.45425793544308135,8.471391230595259,4.008566647576089
93,2011-05-05,0.683524864075423,11.095972152145293,5.889748508110358
94,2011-05-06,0.26967722152789975,11.482334834955225,5.876006028241562
95,2011-05-07,5.355401317209555,16.79081736849031,11.073109342849932
96,2011-05-08,6.388327356947002,16.66380930154162,11.52606832924431
97,2011-05-09,8.420668644152045,20.125571792793835,14.27312021847294
98,2011-05-10,7.233957114253258,20.471120696300602,13.85253890527693
99,2011-05-11,7.345886014093935,17.970970955193195,12.658428484643565
100,2011-05-12,4.850149882700521,15.360766468765803,10.105458175733162
101,2011-05-13,4.982840241190047,12.687808937720774,8.83532458945541
102,2011-05-14,2.1406838139050706,13.290815536214154,7.715749675059612
103,2011-05-15,1.7597933801671957,11.016316840004208,6.388055110085702
104,2011-05-16,2.972051092188053,10.900478026051132,6.936264559119593
105,2011-05-17,2.7327639183498604,10.147907882572156,6.440335900461008
106,2011-05-18,0.5468239849473662,12.709852674797787,6.628338329872577
107,2011-05-19,5.217379735812301,13.862325110428458,9.53985242312038
108,2011-05-20,5.640614532827158,15.04910126040869,10.344857896617924
109,2011-05-21,5.335076517492098,14.991305708804191,10.163191113148144
110,2011-05-22,4.996077191954271,18.56848086412333,11.7822790280388
111,2011-05-23,7.172872017353711,14.415167965790772,10.794019991572242
112,2011-05-24,3.2371001820074525,10.133928361771211,6.685514271889332
113,2011-05-25,5.225965735568138,11.907524068876512,8.566744902222325
114,2011-05-26,4.053196815531464,14.798823499143623,9.426010157337544
115,2011-05-27,2.8804278954948472,11.984850498628361,7.432639197061604
116,2011-05-28,0.17615999692458217,9.170877498113157,4.6735187475188695
117,2011-05-29,1.9607339491219022,11.066862576171445,6.513798262646674
118,2011-05-30,7.618957254543659,15.93586772390347,11.777412489223565
119,2011-05-31,6.962378102313721,21.853674797087137,14.40802644970043
